Title:;ARCHIVE Financial Year - Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Reporting Period:;April 2013 to March 2014;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. of months:;12 months;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Publication date:;February 2015;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;April 2013;May 2013;June 2013;July 2013;August 2013;September 2013;October 2013;November 2013;December 2013;January 2014;February 2014;March 2014;CCG Name
03M;Yorkshire and Humber;Scarborough And Ryedale;6;2;9;8;7;14;9;10;14;10;2;7;Scarborough And Ryedale
;;;;;;;;;;;;;;;
03N;Yorkshire and Humber;Sheffield;43;36;33;37;45;31;41;37;39;38;32;29;Sheffield
05N;West Midlands;Shropshire;16;23;22;15;16;14;26;21;21;14;15;10;Shropshire
10T;Thames Valley;Slough;5;7;9;8;8;10;12;10;6;5;6;11;Slough
05P;West Midlands;Solihull;12;14;12;11;17;20;16;13;12;12;14;12;Solihull
11X;Devon, Cornwall and Somerset;Somerset;27;22;27;16;21;32;31;11;28;31;31;28;Somerset
;;;;;;;;;;;;;;;
01R;Cheshire and Merseyside;South Cheshire;8;15;16;11;11;12;7;6;10;13;15;14;South Cheshire
99Q;Devon, Cornwall and Somerset;South Devon And Torbay;9;8;27;20;22;23;18;12;18;23;18;17;South Devon And Torbay
05Q;West Midlands;South East Staffs And Seisdon Peninsular;12;15;17;10;10;10;12;7;11;9;9;10;South East Staffs And Seisdon Peninsular
10V;Wessex;South Eastern Hampshire;4;4;11;7;8;4;6;8;10;5;2;9;South Eastern Hampshire
12A;Avon, Gloucestershire and Wiltshire;South Gloucestershire;5;14;13;12;9;12;18;12;8;9;8;20;South Gloucestershire
;;;;;;;;;;;;;;;
10A;Kent, Surrey and Sussex;South Kent Coast;12;8;14;17;12;18;10;8;10;16;14;12;South Kent Coast
99D;East Midlands;South Lincolnshire;10;13;9;8;11;10;11;9;5;14;9;11;South Lincolnshire
01N;Greater Manchester;South Manchester;8;5;12;8;12;9;9;14;6;6;7;4;South Manchester
06Y;Anglia and Essex;South Norfolk;7;12;7;7;7;11;15;10;12;6;8;6;South Norfolk
10W;Thames Valley;South Reading;3;2;4;6;7;8;3;8;9;4;1;4;South Reading
;;;;;;;;;;;;;;;
01T;Cheshire and Merseyside;South Sefton;12;8;5;14;15;8;7;13;18;9;13;14;South Sefton
00M;North East;South Tees;19;21;20;22;17;25;17;22;21;13;19;17;South Tees
00N;North East;South Tyneside;13;9;8;10;8;7;8;11;8;2;7;7;South Tyneside
05R;West Midlands;South Warwickshire;10;8;11;12;19;17;10;12;13;14;16;10;South Warwickshire
04Q;East Midlands;South West Lincolnshire;3;11;4;8;4;12;6;7;7;7;12;2;South West Lincolnshire
;;;;;;;;;;;;;;;
05T;West Midlands;South Worcestershire;11;9;11;13;10;19;12;15;12;8;14;14;South Worcestershire
10X;Wessex;Southampton;12;14;11;10;12;11;10;5;15;11;10;10;Southampton
99G;Anglia and Essex;Southend;8;11;6;10;13;6;17;6;9;9;3;12;Southend
04R;East Midlands;Southern Derbyshire;22;34;31;39;37;34;34;34;37;34;43;37;Southern Derbyshire
01V;Cheshire and Merseyside;Southport And Formby;11;12;15;11;13;12;8;10;14;15;8;9;Southport And Formby
;;;;;;;;;;;;;;;
08Q;London;Southwark;10;23;20;15;14;17;23;16;17;13;13;8;Southwark
01X;Cheshire and Merseyside;St Helens;10;8;17;10;19;20;14;16;7;16;17;12;St Helens
05V;West Midlands;Stafford And Surrounds;7;7;11;9;5;8;6;10;7;15;11;7;Stafford And Surrounds
01W;Greater Manchester;Stockport;13;15;20;15;20;14;13;19;17;17;24;13;Stockport
05W;West Midlands;Stoke On Trent;13;11;22;26;12;22;16;20;28;14;19;24;Stoke On Trent
;;;;;;;;;;;;;;;
00P;North East;Sunderland;22;21;28;19;31;27;26;30;13;17;24;21;Sunderland
99H;Kent, Surrey and Sussex;Surrey Downs;10;15;9;17;7;15;14;14;15;12;10;19;Surrey Downs
10C;Kent, Surrey and Sussex;Surrey Heath;4;3;4;5;4;5;1;4;5;4;5;5;Surrey Heath
08T;London;Sutton;5;9;4;10;10;7;6;8;6;10;9;14;Sutton
10D;Kent, Surrey and Sussex;Swale;5;7;3;6;8;4;6;4;8;5;7;11;Swale
;;;;;;;;;;;;;;;
12D;Avon, Gloucestershire and Wiltshire;Swindon;7;14;12;8;9;11;11;4;10;13;5;11;Swindon
01Y;Greater Manchester;Tameside And Glossop;12;13;12;14;8;18;13;16;9;15;9;10;Tameside And Glossop
05X;West Midlands;Telford And Wrekin;4;8;11;10;9;8;8;6;3;4;4;4;Telford And Wrekin
10E;Kent, Surrey and Sussex;Thanet;14;9;12;8;8;13;17;9;8;9;4;8;Thanet
07G;Anglia and Essex;Thurrock;12;4;5;8;10;5;8;6;4;7;6;10;Thurrock
;;;;;;;;;;;;;;;
08V;London;Tower Hamlets;18;27;20;23;25;20;20;21;15;16;14;17;Tower Hamlets
02A;Greater Manchester;Trafford;9;12;16;8;16;9;15;14;11;12;10;13;Trafford
03Q;Yorkshire and Humber;Vale Of York;16;17;21;24;28;27;26;26;18;23;24;21;Vale Of York
02D;Cheshire and Merseyside;Vale Royal;7;6;3;8;2;6;8;5;5;7;3;3;Vale Royal
03R;Yorkshire and Humber;Wakefield;19;12;25;13;20;21;25;16;18;26;28;17;Wakefield
;;;;;;;;;;;;;;;
05Y;West Midlands;Walsall;21;16;19;14;13;19;14;12;17;13;15;15;Walsall
08W;London;Waltham Forest;13;9;10;15;14;14;10;5;15;13;5;13;Waltham Forest
08X;London;Wandsworth;11;8;14;14;11;10;8;12;7;11;18;7;Wandsworth
02E;Cheshire and Merseyside;Warrington;12;11;10;7;13;9;12;13;11;13;7;11;Warrington
05H;West Midlands;Warwickshire North;4;10;12;10;9;8;8;8;13;11;10;16;Warwickshire North
;;;;;;;;;;;;;;;
02F;Cheshire and Merseyside;West Cheshire;18;17;15;16;21;27;25;18;15;21;11;14;West Cheshire
07H;Anglia and Essex;West Essex;18;11;10;14;13;11;14;8;15;10;19;20;West Essex
11A;Wessex;West Hampshire;18;20;15;25;33;22;21;13;18;22;15;25;West Hampshire
99J;Kent, Surrey and Sussex;West Kent;13;26;35;27;26;26;25;12;23;19;17;21;West Kent
02G;Cumbria and Lancashire;West Lancashire;4;12;4;8;12;7;8;5;8;6;4;8;West Lancashire
;;;;;;;;;;;;;;;
04V;East Midlands;West Leicestershire;18;14;14;22;14;17;15;20;17;15;9;18;West Leicestershire
08Y;London;West London (K&C & Qpp);9;9;11;10;15;6;11;1;11;2;9;14;West London (K&C & Qpp)
07J;Anglia and Essex;West Norfolk;5;3;8;10;16;13;12;11;9;8;11;14;West Norfolk
07K;Anglia and Essex;West Suffolk;14;10;18;20;17;11;6;13;15;11;11;17;West Suffolk
02H;Greater Manchester;Wigan Borough;16;22;17;15;21;21;19;15;18;18;11;11;Wigan Borough
;;;;;;;;;;;;;;;
99N;Avon, Gloucestershire and Wiltshire;Wiltshire;8;15;12;20;18;13;19;19;20;21;13;17;Wiltshire
11C;Thames Valley;Windsor, Ascot And Maidenhead;3;10;5;7;1;4;2;7;6;6;3;9;Windsor, Ascot And Maidenhead
12F;Cheshire and Merseyside;Wirral;24;12;21;21;19;24;19;13;13;18;14;1;Wirral
11D;Thames Valley;Wokingham;2;3;4;5;7;6;7;4;7;3;5;4;Wokingham
06A;West Midlands;Wolverhampton;10;17;15;13;16;8;13;18;12;15;13;20;Wolverhampton
;;;;;;;;;;;;;;;
06D;West Midlands;Wyre Forest;10;5;6;4;9;9;5;2;5;2;3;4;Wyre Forest
;Specialist Commissioning;Specialist Commissioning Hubs;0;0;0;0;0;0;1;2;0;0;0;1;Specialist Commissioning Hubs
;;Totals;2692;2751;2750;2995;3155;2929;2998;2777;2848;2878;2625;2877;Totals
