Title:;Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Reporting Period:;March 2016 to March 2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
No. of months:;13;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Publication date:;Wednesday, May 03, 2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;March 2016;April 2016;May 2016;June 2016;July 2016;August 2016;September 2016;October 2016;November 2016;December 2016;January 2017;February 2017;March 2017;CCG Name
;;Totals; 3 231 ; 3 058 ; 3 370 ; 3 412 ; 3 644 ; 3 761 ; 3 476 ; 3 532 ; 3 323 ; 3 271 ; 3 168 ; 3 091 ; 3 336 ;Totals
;;;;;;;;;;;;;;;;
09X;South East;Horsham and Mid Sussex;9;10;14;9;10;12;10;11;14;10;11;8;15;Horsham and Mid Sussex
07Y;London;Hounslow;19;11;17;22;15;14;14;12;15;9;17;17;8;Hounslow
03F;Yorkshire and Humber;Hull;13;18;21;16;17;26;21;26;28;15;17;13;17;Hull
06L;East of England;Ipswich and East Suffolk;15;20;12;19;26;23;19;24;23;20;19;13;23;Ipswich and East Suffolk
10L;South East;Isle of Wight;12;12;9;8;12;10;10;9;12;10;11;11;11;Isle of Wight
08H;London;Islington;5;10;9;10;13;12;15;13;8;14;9;11;7;Islington
11N;South West;Kernow;35;19;31;33;33;29;34;35;37;36;44;23;38;Kernow
08J;London;Kingston;11;7;8;7;11;8;13;7;6;9;9;8;8;Kingston
01J;North West;Knowsley;15;11;14;12;12;14;9;18;10;12;9;18;13;Knowsley
08K;London;Lambeth;19;20;16;19;24;17;19;21;16;11;8;9;17;Lambeth
01K;North West;Lancashire North;10;12;14;11;8;14;15;15;7;10;3;6;10;Lancashire North
02V;Yorkshire and Humber;Leeds North;15;6;10;14;15;14;7;9;19;12;5;10;1;Leeds North
03G;Yorkshire and Humber;Leeds South and East;20;22;23;17;30;17;5;13;27;15;14;11;4;Leeds South and East
03C;Yorkshire and Humber;Leeds West;17;22;30;19;20;23;7;12;16;23;11;5;2;Leeds West
04C;East Midlands;Leicester City;26;17;20;16;19;31;31;22;21;31;21;22;23;Leicester City
08L;London;Lewisham;16;7;14;17;14;21;13;18;9;9;14;15;24;Lewisham
03T;East Midlands;Lincolnshire East;15;11;12;11;16;13;16;21;18;14;18;21;13;Lincolnshire East
04D;East Midlands;Lincolnshire West;9;14;8;9;7;17;11;13;8;12;11;15;15;Lincolnshire West
99A;North West;Liverpool;32;42;38;31;40;32;41;38;47;43;40;37;42;Liverpool
06P;East of England;Luton;8;16;13;14;14;9;10;6;12;9;10;5;9;Luton
04E;East Midlands;Mansfield and Ashfield;20;13;22;10;20;21;12;16;13;11;20;13;25;Mansfield and Ashfield
09W;South East;Medway;17;10;15;26;17;24;17;22;15;23;23;18;22;Medway
08R;London;Merton;6;5;14;19;15;9;7;6;13;6;14;11;9;Merton
06Q;East of England;Mid Essex;10;23;11;20;15;25;18;18;15;14;18;17;20;Mid Essex
04F;East of England;Milton Keynes;14;15;16;18;17;24;13;15;18;8;13;16;14;Milton Keynes
04G;East Midlands;Nene;39;55;37;29;46;38;42;32;35;47;33;47;38;Nene
04H;East Midlands;Newark & Sherwood;13;6;13;7;8;14;9;10;19;12;11;3;7;Newark & Sherwood
10M;South East;Newbury and District;5;6;3;3;5;4;2;2;8;1;5;2;8;Newbury and District
13T;North East;Newcastle Gateshead;39;36;32;44;29;28;34;34;26;36;24;35;33;Newcastle Gateshead
08M;London;Newham;17;18;13;22;17;30;16;19;14;10;9;18;19;Newham
10N;South East;North & West Reading;9;4;6;5;11;4;4;8;4;4;1;4;5;North & West Reading
04J;East Midlands;North Derbyshire;14;24;23;28;25;14;16;21;10;25;21;19;15;North Derbyshire
00J;North East;North Durham;20;11;15;14;17;15;20;12;14;14;13;9;11;North Durham
06T;East of England;North East Essex;19;17;30;25;20;27;30;30;19;16;19;20;21;North East Essex
99M;South East;North East Hampshire and Farnham;14;8;26;17;14;16;19;10;12;21;10;14;11;North East Hampshire and Farnham
03H;Yorkshire and Humber;North East Lincolnshire;14;16;10;16;15;19;7;12;10;5;14;19;9;North East Lincolnshire
10J;South East;North Hampshire;5;9;9;9;11;15;7;4;10;9;7;7;12;North Hampshire
