Title:;ARCHIVE Financial Year - Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Reporting Period:;April 2017 to March 2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. of months:;12 months;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Publication date:;May 2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;April 2017;May 2017;June 2017;July 2017;August 2017;September 2017;October 2017;November 2017;December 2017;January 2018;February 2018;March 2018;CCG Name
02A;North West;Trafford;12;15;14;16;13;14;14;11;12;17;16;19; Trafford
03Q;Yorkshire and Humber;Vale of York;33;21;24;20;23;19;33;25;33;26;15;23; Vale of York
02D;North West;Vale Royal;7;12;3;10;5;7;7;5;2;7;2;7; Vale Royal
03R;Yorkshire and Humber;Wakefield;22;19;20;27;21;33;21;23;20;26;22;22; Wakefield
05Y;West Midlands;Walsall;11;11;15;17;18;9;13;14;11;12;20;17; Walsall
08W;London;Waltham Forest;16;14;13;11;15;12;9;16;14;8;10;14; Waltham Forest
08X;London;Wandsworth;14;10;14;23;18;15;12;9;13;13;15;5; Wandsworth
02E;North West;Warrington;18;9;10;22;12;14;15;13;11;12;9;11; Warrington
05H;West Midlands;Warwickshire North;20;8;14;6;11;11;8;9;13;6;18;14; Warwickshire North
02F;North West;West Cheshire;21;17;13;21;20;17;31;17;12;22;18;15; West Cheshire
07H;East of England;West Essex;15;19;19;15;24;11;14;18;22;18;12;13; West Essex
11A;South East;West Hampshire;24;21;18;27;32;27;27;31;31;36;26;32; West Hampshire
99J;South East;West Kent;22;30;26;35;35;33;29;26;32;36;21;30; West Kent
02G;North West;West Lancashire;3;7;9;10;4;8;8;6;5;7;8;9; West Lancashire
04V;East Midlands;West Leicestershire;23;16;13;19;18;17;25;11;14;12;11;17; West Leicestershire
08Y;London;West London;14;16;14;15;16;16;16;10;11;8;8;8; West London
07J;East of England;West Norfolk;11;14;12;12;12;9;14;20;13;11;5;9; West Norfolk
07K;East of England;West Suffolk;12;8;15;20;10;17;15;15;16;9;12;11; West Suffolk
02H;North West;Wigan Borough;17;20;18;11;16;22;27;16;15;19;9;9; Wigan Borough
99N;South West;Wiltshire;17;23;27;23;36;26;25;30;27;21;18;24; Wiltshire
11C;South East;Windsor, Ascot and Maidenhead;10;4;9;11;10;14;13;10;11;14;6;11; Windsor, Ascot and Maidenhead
12F;North West;Wirral;18;21;22;31;26;29;24;27;28;32;18;17; Wirral
11D;South East;Wokingham;10;5;6;11;14;8;10;6;17;7;9;8; Wokingham
06A;West Midlands;Wolverhampton;21;21;25;23;16;18;13;19;24;29;15;12; Wolverhampton
06D;West Midlands;Wyre Forest;5;3;13;7;9;8;6;6;5;4;6;8; Wyre Forest
;Specialist Commissioning;Specialist Commissioning Hubs;0;1;0;2;0;0;1;0;1;0;0;0; Specialist Commissioning Hubs
;;;;;;;;;;;;;;;
;;Totals;3292;3395;3508;3730;3789;3534;3599;3447;3247;3226;2994;3299;Totals
;;;;;;;;;;;;;;;
1 On 1st April 2017 NHS Central Manchester CCG, NHS North Manchester CCG and NHS South Manchester CCG merged . Data prior to April 2017 for NHS Central Manchester CCG, NHS North Manchester CCG and NHS South Manchester CCG  combined and displayed under Manchester CCG.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Italicised figures indicate data from months that are likely to be subject to minor change or update in the future monthly publications.;;;;;;;;;;;;;;;
Data cells with red numbers indicate that these figures have been amended since the previous monthly publication.;;;;;;;;;;;;;;;
